run_id,query,representation,files_read,input_size_bytes,shuffle_read_bytes,shuffle_write_bytes,notes,timestamp
r1,Q1,row,1,83800,0,0,,2025-10-27T19:05:54.972998
r1,Q1,row,0,0,177,0,,2025-10-27T19:05:54.973026
r1,Q1,row,0,0,0,0,,2025-10-27T19:05:54.973029
r1,Q1,row,3,251392,0,177,,2025-10-27T19:05:54.973031
r1,Q1,row,15000,846837,0,0,,2025-10-27T19:05:54.973034
r1,Q1,column,0,0,177,0,,2025-10-27T19:06:59.044382
r1,Q1,column,0,0,0,0,,2025-10-27T19:06:59.044397
r1,Q1,column,3,251392,0,177,,2025-10-27T19:06:59.044398
r1,Q1,column,15000,163137,0,0,,2025-10-27T19:06:59.044400
r1,Q1,column,3,251392,0,0,,2025-10-27T19:06:59.044401
r1,Q1,column,1,83800,0,0,,2025-10-27T19:06:59.044402
r1,Q1,column,0,0,177,0,,2025-10-27T19:06:59.044404
r1,Q1,column,0,0,0,0,,2025-10-27T19:06:59.044405
r1,Q1,column,3,251392,0,177,,2025-10-27T19:06:59.044406
r1,Q1,column,15000,846837,0,0,,2025-10-27T19:06:59.044408
r1,Join,normal,0,0,177,0,,2025-10-27T19:08:57.443163
r1,Join,normal,0,0,0,0,,2025-10-27T19:08:57.443183
r1,Join,normal,3,251392,0,177,,2025-10-27T19:08:57.443186
r1,Join,normal,15000,163137,0,0,,2025-10-27T19:08:57.443189
r1,Join,normal,3,251392,0,0,,2025-10-27T19:08:57.443192
r1,Join,normal,1,83800,0,0,,2025-10-27T19:08:57.443194
r1,Join,normal,0,0,177,0,,2025-10-27T19:08:57.443198
r1,Join,normal,0,0,0,0,,2025-10-27T19:08:57.443200
r1,Join,normal,3,251392,0,177,,2025-10-27T19:08:57.443203
r1,Join,normal,15000,846837,0,0,,2025-10-27T19:08:57.443206
r1,Join,broadcast,0,0,177,0,,2025-10-27T19:08:57.532613
r1,Join,broadcast,0,0,0,0,,2025-10-27T19:08:57.532634
r1,Join,broadcast,3,251392,0,177,,2025-10-27T19:08:57.532637
r1,Join,broadcast,15000,163137,0,0,,2025-10-27T19:08:57.532640
r1,Join,broadcast,3,251392,0,0,,2025-10-27T19:08:57.532642
r1,Join,broadcast,1,83800,0,0,,2025-10-27T19:08:57.532645
r1,Join,broadcast,0,0,177,0,,2025-10-27T19:08:57.532648
r1,Join,broadcast,0,0,0,0,,2025-10-27T19:08:57.532650
r1,Join,broadcast,3,251392,0,177,,2025-10-27T19:08:57.532653
r1,Join,broadcast,15000,846837,0,0,,2025-10-27T19:08:57.532655
r1,Q2,row,0,0,59,0,,2025-10-27T19:12:12.988216
r1,Q2,row,0,0,0,0,,2025-10-27T19:12:12.988231
r1,Q2,row,0,0,0,0,,2025-10-27T19:12:12.988233
r1,Q2,row,0,0,483,59,,2025-10-27T19:12:12.988234
r1,Q2,row,0,0,0,0,,2025-10-27T19:12:12.988236
r1,Q2,row,3,251392,0,483,,2025-10-27T19:12:12.988237
r1,Q2,row,0,0,59,0,,2025-10-27T19:12:12.988239
r1,Q2,row,0,0,0,0,,2025-10-27T19:12:12.988240
r1,Q2,row,0,0,0,0,,2025-10-27T19:12:12.988241
r1,Q2,row,0,0,483,59,,2025-10-27T19:12:12.988243
r1,Q2,row,0,0,0,0,,2025-10-27T19:12:12.988244
r1,Q2,row,3,251392,0,483,,2025-10-27T19:12:12.988245
r1,Q2,row,0,0,177,0,,2025-10-27T19:12:12.988246
r1,Q2,row,0,0,0,0,,2025-10-27T19:12:12.988248
r1,Q2,row,3,251392,0,177,,2025-10-27T19:12:12.988249
r1,Q2,row,15000,163137,0,0,,2025-10-27T19:12:12.988250
r1,Q2,row,3,251392,0,0,,2025-10-27T19:12:12.988251
r1,Q2,row,1,83800,0,0,,2025-10-27T19:12:12.988252
r1,Q2,row,0,0,177,0,,2025-10-27T19:12:12.988257
r1,Q2,row,0,0,0,0,,2025-10-27T19:12:12.988258
r1,Q2,row,3,251392,0,177,,2025-10-27T19:12:12.988260
r1,Q2,row,15000,846837,0,0,,2025-10-27T19:12:12.988261
r1,Q2,column,0,0,59,0,,2025-10-27T19:12:13.004303
r1,Q2,column,0,0,0,0,,2025-10-27T19:12:13.004327
r1,Q2,column,0,0,0,0,,2025-10-27T19:12:13.004330
r1,Q2,column,0,0,483,59,,2025-10-27T19:12:13.004333
r1,Q2,column,0,0,0,0,,2025-10-27T19:12:13.004336
r1,Q2,column,3,251392,0,483,,2025-10-27T19:12:13.004340
r1,Q2,column,0,0,59,0,,2025-10-27T19:12:13.004343
r1,Q2,column,0,0,0,0,,2025-10-27T19:12:13.004346
r1,Q2,column,0,0,0,0,,2025-10-27T19:12:13.004348
r1,Q2,column,0,0,483,59,,2025-10-27T19:12:13.004351
r1,Q2,column,0,0,0,0,,2025-10-27T19:12:13.004354
r1,Q2,column,3,251392,0,483,,2025-10-27T19:12:13.004357
r1,Q2,column,0,0,177,0,,2025-10-27T19:12:13.004360
r1,Q2,column,0,0,0,0,,2025-10-27T19:12:13.004363
r1,Q2,column,3,251392,0,177,,2025-10-27T19:12:13.004366
r1,Q2,column,15000,163137,0,0,,2025-10-27T19:12:13.004369
r1,Q2,column,3,251392,0,0,,2025-10-27T19:12:13.004372
r1,Q2,column,1,83800,0,0,,2025-10-27T19:12:13.004375
r1,Q2,column,0,0,177,0,,2025-10-27T19:12:13.004378
r1,Q2,column,0,0,0,0,,2025-10-27T19:12:13.004381
r1,Q2,column,3,251392,0,177,,2025-10-27T19:12:13.004383
r1,Q2,column,15000,846837,0,0,,2025-10-27T19:12:13.004386
r1,Q3,row,0,0,26536,0,,2025-10-27T19:12:13.605403
r1,Q3,row,0,0,0,0,,2025-10-27T19:12:13.605424
r1,Q3,row,3,251392,0,26536,,2025-10-27T19:12:13.605427
r1,Q3,row,0,0,26536,0,,2025-10-27T19:12:13.605430
r1,Q3,row,0,0,0,0,,2025-10-27T19:12:13.605434
r1,Q3,row,3,251392,0,26536,,2025-10-27T19:12:13.605437
r1,Q3,row,0,0,59,0,,2025-10-27T19:12:13.605440
r1,Q3,row,0,0,0,0,,2025-10-27T19:12:13.605442
r1,Q3,row,0,0,0,0,,2025-10-27T19:12:13.605445
r1,Q3,row,0,0,483,59,,2025-10-27T19:12:13.605447
r1,Q3,row,0,0,0,0,,2025-10-27T19:12:13.605450
r1,Q3,row,3,251392,0,483,,2025-10-27T19:12:13.605453
r1,Q3,row,0,0,59,0,,2025-10-27T19:12:13.605456
r1,Q3,row,0,0,0,0,,2025-10-27T19:12:13.605459
r1,Q3,row,0,0,0,0,,2025-10-27T19:12:13.605462
r1,Q3,row,0,0,483,59,,2025-10-27T19:12:13.605465
r1,Q3,row,0,0,0,0,,2025-10-27T19:12:13.605468
r1,Q3,row,3,251392,0,483,,2025-10-27T19:12:13.605471
r1,Q3,row,0,0,177,0,,2025-10-27T19:12:13.605474
r1,Q3,row,0,0,0,0,,2025-10-27T19:12:13.605477
r1,Q3,row,3,251392,0,177,,2025-10-27T19:12:13.605480
r1,Q3,row,15000,163137,0,0,,2025-10-27T19:12:13.605482
r1,Q3,row,3,251392,0,0,,2025-10-27T19:12:13.605485
r1,Q3,row,1,83800,0,0,,2025-10-27T19:12:13.605487
r1,Q3,row,0,0,177,0,,2025-10-27T19:12:13.605490
r1,Q3,row,0,0,0,0,,2025-10-27T19:12:13.605493
r1,Q3,row,3,251392,0,177,,2025-10-27T19:12:13.605496
r1,Q3,row,15000,846837,0,0,,2025-10-27T19:12:13.605500
r1,Q3,column,0,0,26536,0,,2025-10-27T19:12:13.626203
r1,Q3,column,0,0,0,0,,2025-10-27T19:12:13.626281
r1,Q3,column,3,251392,0,26536,,2025-10-27T19:12:13.626285
r1,Q3,column,0,0,26536,0,,2025-10-27T19:12:13.626287
r1,Q3,column,0,0,0,0,,2025-10-27T19:12:13.626290
r1,Q3,column,3,251392,0,26536,,2025-10-27T19:12:13.626293
r1,Q3,column,0,0,59,0,,2025-10-27T19:12:13.626295
r1,Q3,column,0,0,0,0,,2025-10-27T19:12:13.626298
r1,Q3,column,0,0,0,0,,2025-10-27T19:12:13.626300
r1,Q3,column,0,0,483,59,,2025-10-27T19:12:13.626303
r1,Q3,column,0,0,0,0,,2025-10-27T19:12:13.626305
r1,Q3,column,3,251392,0,483,,2025-10-27T19:12:13.626308
r1,Q3,column,0,0,59,0,,2025-10-27T19:12:13.626310
r1,Q3,column,0,0,0,0,,2025-10-27T19:12:13.626312
r1,Q3,column,0,0,0,0,,2025-10-27T19:12:13.626314
r1,Q3,column,0,0,483,59,,2025-10-27T19:12:13.626317
r1,Q3,column,0,0,0,0,,2025-10-27T19:12:13.626319
r1,Q3,column,3,251392,0,483,,2025-10-27T19:12:13.626322
r1,Q3,column,0,0,177,0,,2025-10-27T19:12:13.626324
r1,Q3,column,0,0,0,0,,2025-10-27T19:12:13.626327
r1,Q3,column,3,251392,0,177,,2025-10-27T19:12:13.626329
r1,Q3,column,15000,163137,0,0,,2025-10-27T19:12:13.626332
r1,Q3,column,3,251392,0,0,,2025-10-27T19:12:13.626334
r1,Q3,column,1,83800,0,0,,2025-10-27T19:12:13.626336
r1,Q3,column,0,0,177,0,,2025-10-27T19:12:13.626339
r1,Q3,column,0,0,0,0,,2025-10-27T19:12:13.626341
r1,Q3,column,3,251392,0,177,,2025-10-27T19:12:13.626344
r1,Q3,column,15000,846837,0,0,,2025-10-27T19:12:13.626347
